NSE,IND,INR,INE00R701025,DALBHARAT,Dalmia Bharat Ltd.,EQ,Construction Materials,Cement and Cement products,20103010,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE288B01029,DEEPAKNTR,Deepak Nitrite Ltd.,EQ,Chemicals,Chemicals and petrochemicals,151010,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE148O01028,DELHIVERY,Delhivery Ltd.,EQ,Services,Transport Services,2030,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE872J01023,DEVYANI,Devyani International Ltd.,EQ,Consumer Services,Leisure services,2530,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE935N01020,DIXON,Dixon Technologies (India) Ltd.,EQ,Consumer Durables,Consumer Durables,2520,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE600L01024,LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ,Healthcare,Pharmaceuticals & BioTechnology,351010,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE548C01032,EMAMILTD,Emami Ltd.,EQ,Fast Moving Consumer Goods,Personal products,2520,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE913H01037,ENDURANCE,Endurance Technologies Ltd.,EQ,Automobile and Auto Components,Auto Components,251010,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE042A01014,ESCORTS,Escorts Kubota Ltd.,EQ,Capital Goods,Agricultural Commercial & Construction Vehicles,2010,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE171A01029,FEDERALBNK,Federal Bank Ltd.,EQ,Financial Services,Banks,2010,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE686Y01026,FINEORG,Fine Organic Industries Ltd.,EQ,Chemicals,Chemicals and petrochemicals,151010,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE061F01013,FORTIS,Fortis Healthcare Ltd.,EQ,Healthcare,Healthcare Services,351010,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE776C01039,GMRINFRA,GMR Airports Infrastructure Ltd.,EQ,Services,Transport Infrastructure,2030,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE481Y01014,GICRE,General Insurance Corporation of India,EQ,Financial Services,Insurance,2010,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE068V01023,GLAND,Gland Pharma Ltd.,EQ,Healthcare,Pharmaceuticals & BioTechnology,351010,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE159A01016,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,EQ,Healthcare,Pharmaceuticals & BioTechnology,351010,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE233A01035,GODREJIND,Godrej Industries Ltd.,EQ,Diversified,Diversified,20201030,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE484J01027,GODREJPROP,Godrej Properties Ltd.,EQ,Realty,Realty,25201020,Equity,Stocks,Mid-Cap
NSE,IND,INR,INE536A01023,GRINDWELL,Grindwell Norton Ltd.,EQ,Capital Goods,Industrial products,2010,Equity,Stocks,Mid-Cap
